"","Var1","Var2","value"
"1",1,"1",2.12597153873396
"2",10,"1",1.20164541721481
"3",11,"1",0.14949727424446
"4",12,"1",0.243417500557607
"5",13,"1",1.18993622447418
"6",14,"1",0.0204278475502324
"7",15,"1",2.05189528022002
"8",16,"1",3.30578394465911
"9",17,"1",1.11656242073164
"10",18,"1",0.487283071945054
"11",19,"1",0.117733743201404
"12",2,"1",0.864372948632784
"13",20,"1",1.81304426835276
"14",21,"1",2.08602210551294e-05
"15",22,"1",0
"16",23,"1",0.173149849332611
"17",24,"1",0.172133151652733
"18",25,"1",0.00151867265648647
"19",26,"1",3.91339189349107
"20",27,"1",0.181969706925483
"21",28,"1",1.51170182681628
"22",29,"1",0.69402491127605
"23",3,"1",1.0208311363562
"24",30,"1",0.123592909438637
"25",31,"1",0.0337699875709747
"26",32,"1",0.000173020322677323
"27",33,"1",3.29931798293975
"28",34,"1",2.48396936508307
"29",35,"1",2.22708302783753
"30",36,"1",4.59465445104204
"31",37,"1",0.846533019844037
"32",38,"1",2.5240189087748
"33",39,"1",3.63110472566361
"34",4,"1",1.96711234932119
"35",40,"1",0.103543173274724
"36",41,"1",0.0959616969430743
"37",42,"1",0.591837042601691
"38",43,"1",0.0767620847180153
"39",44,"1",0.68974415555431
"40",45,"1",0.0331814110901126
"41",46,"1",0.224299188353694
"42",47,"1",0.0827489477789455
"43",48,"1",1.88350433435592
"44",49,"1",0.637398912379245
"45",5,"1",0.855383372495614
"46",50,"1",0.231660510231698
"47",51,"1",1.13519183938849
"48",52,"1",1.55286216697681
"49",53,"1",0.277011146954499
"50",54,"1",0.0425261326378183
"51",55,"1",1.15300396017558
"52",56,"1",1.51686801624297
"53",57,"1",1.63004615907723
"54",58,"1",0.316390685656698
"55",59,"1",1.00803576699696
"56",6,"1",0.863549150525386
"57",60,"1",1.39968225287354
"58",61,"1",2.13280041550788
"59",62,"1",0.00425240061489216
"60",63,"1",0.418704169474795
"61",64,"1",1.79916083688729
"62",65,"1",1.42547794822181
"63",66,"1",0.00663077592668159
"64",67,"1",4.48547693479907
"65",68,"1",4.32480764599178
"66",69,"1",0.122933607353325
"67",7,"1",0.00574769949716285
"68",70,"1",0.379231941077782
"69",71,"1",0.181186599765448
"70",72,"1",0.308241512121243
"71",73,"1",0.293257532960867
"72",74,"1",0.399537615113487
"73",75,"1",0.0782448799388418
"74",76,"1",2.29295457663927
"75",77,"1",0.0181309062993945
"76",78,"1",2.85066761614067
"77",8,"1",0.0045595525371029
"78",9,"1",0
"79",1,"2",1.08410929033927
"80",10,"2",0.379870104894617
"81",11,"2",0.066965481361433
"82",12,"2",0.117423426374337
"83",13,"2",0.485048199133318
"84",14,"2",0.01065761109143
"85",15,"2",1.34264294364772
"86",16,"2",3.62860546408636
"87",17,"2",0.334157383198998
"88",18,"2",0.251715576708331
"89",19,"2",1.13906745509085
"90",2,"2",0.262395602933371
"91",20,"2",4.70386712308188
"92",21,"2",2.45107187287388e-06
"93",22,"2",0.376093054432329
"94",23,"2",0.0580698885209948
"95",24,"2",0.0915252580169086
"96",25,"2",0.000600869425572839
"97",26,"2",1.572692517093
"98",27,"2",0.10974539441755
"99",28,"2",0.670680125223991
"100",29,"2",0.416206307108444
"101",3,"2",0.351214368902864
"102",30,"2",0.0599064626301583
"103",31,"2",0.0135401036274538
"104",32,"2",0.000100018577861426
"105",33,"2",4.37869281559036
"106",34,"2",1.26847507131294
"107",35,"2",0.756289052292135
"108",36,"2",4.14534269679509
"109",37,"2",0.372133511289937
"110",38,"2",1.36016113782735
"111",39,"2",1.6453501836593
"112",4,"2",0.701376501802806
"113",40,"2",0.0525775756143505
"114",41,"2",0.0406217170555487
"115",42,"2",0.220505197183443
"116",43,"2",0.0283699879172118
"117",44,"2",0.188685313108371
"118",45,"2",0.0110969456833915
"119",46,"2",0.109507056602638
"120",47,"2",0.030408586637288
"121",48,"2",0.667613320639838
"122",49,"2",0.136315192580971
"123",5,"2",0.195740896992464
"124",50,"2",0.0744988194218987
"125",51,"2",0.492233917857108
"126",52,"2",0.479053707614997
"127",53,"2",0.123629152267315
"128",54,"2",0.0203876307910933
"129",55,"2",0.464874267731343
"130",56,"2",0.652307844950575
"131",57,"2",0.838763734256613
"132",58,"2",0.145222172096156
"133",59,"2",0.615119905340948
"134",6,"2",0.438613044690261
"135",60,"2",0.401696296574065
"136",61,"2",5.52873707411283
"137",62,"2",0.00215782512406258
"138",63,"2",0.206221208456497
"139",64,"2",0.650669874385723
"140",65,"2",0.598892755486631
"141",66,"2",0.00271848788753556
"142",67,"2",1.86669476239085
"143",68,"2",2.7519176449757
"144",69,"2",0.0543949555085889
"145",7,"2",0.00414374753925365
"146",70,"2",0.18516262502787
"147",71,"2",0.0723168404789086
"148",72,"2",0.106554588989293
"149",73,"2",0.108851199057685
"150",74,"2",0.082811126370436
"151",75,"2",0.0214114695597646
"152",76,"2",1.01325956446501
"153",77,"2",0.00606232957756401
"154",78,"2",1.38289189046358
"155",8,"2",0.00114860025651663
"156",9,"2",0
"157",1,"3",1.00945039876879
"158",10,"3",0.120071995532631
"159",11,"3",0.0299945684038317
"160",12,"3",0.0549203302349561
"161",13,"3",0.192572946736804
"162",14,"3",0.00505495454509074
"163",15,"3",0.577170458785558
"164",16,"3",1.6678216664979
"165",17,"3",0.0999912733501353
"166",18,"3",0.13000242758371
"167",19,"3",0.737772562901024
"168",2,"3",0.407978875954932
"169",20,"3",2.43790538755378
"170",21,"3",2.85434359708813e-07
"171",22,"3",0.530642722209282
"172",23,"3",0.0194730134047865
"173",24,"3",0.0486632460337002
"174",25,"3",0.000237709457691888
"175",26,"3",0.631976702381492
"176",27,"3",0.243579637341815
"177",28,"3",0.297535043428599
"178",29,"3",0.224989677423586
"179",3,"3",0.120821883239131
"180",30,"3",0.0819751006268611
"181",31,"3",0.00541008996514922
"182",32,"3",5.77945801732454e-05
"183",33,"3",4.37136918543504
"184",34,"3",1.8311087996481
"185",35,"3",0.256798898550255
"186",36,"3",8
"187",37,"3",0.163578614305658
"188",38,"3",5.2622213040066
"189",39,"3",0.996758163550738
"190",4,"3",0.250052416849628
"191",40,"3",0.0266823082809011
"192",41,"3",0.0171945196081435
"193",42,"3",0.0668668058713154
"194",43,"3",0.0104840909474972
"195",44,"3",0.0516086910822657
"196",45,"3",0.00371080156893513
"197",46,"3",0.0296648366138842
"198",47,"3",0.0111735033704619
"199",48,"3",0.236614185921071
"200",49,"3",0.0291464916980641
"201",5,"3",0.0447835783493972
"202",50,"3",0.0239514095259562
"203",51,"3",0.213425218624621
"204",52,"3",2.38396003484272
"205",53,"3",0.0551718489973847
"206",54,"3",0.00895405395439538
"207",55,"3",0.1873005090668
"208",56,"3",0.28049737634755
"209",57,"3",0.43157990292394
"210",58,"3",0.066402852628965
"211",59,"3",0.347076045167981
"212",6,"3",0.158386809745346
"213",60,"3",0.115234482547002
"214",61,"3",3.10612371469939
"215",62,"3",0.00109490779576459
"216",63,"3",0.215965020251809
"217",64,"3",0.235293754676836
"218",65,"3",0.251598178267135
"219",66,"3",0.00111259117948374
"220",67,"3",0.776796154977384
"221",68,"3",1.87382743875266
"222",69,"3",0.0240668781750501
"223",7,"3",0.00126410803224021
"224",70,"3",0.0903971601277814
"225",71,"3",0.0288614945135502
"226",72,"3",0.0368305988689231
"227",73,"3",0.0403997290724769
"228",74,"3",0.0171603274510698
"229",75,"3",0.00585825116884952
"230",76,"3",1.015172270204
"231",77,"3",0.0020255548449434
"232",78,"3",0.582072285364508
"233",8,"3",8
"234",9,"3",0
"235",1,"4",0.910575096730788
"236",10,"4",0.037948547443868
"237",11,"4",0.0134340747582102
"238",12,"4",0.023915220796063
"239",13,"4",0.0712263700942729
"240",14,"4",0.00184220317429785
"241",15,"4",0.299069951370368
"242",16,"4",0.859525270736035
"243",17,"4",0.0299167850932481
"244",18,"4",0.0671181436519021
"245",19,"4",0.365019789214967
"246",2,"4",1.27547989009117
"247",20,"4",1.63583263319785
"248",21,"4",3.4312272130555e-08
"249",22,"4",0.470779057300609
"250",23,"4",0.00652931550385522
"251",24,"4",0.0258728883090962
"252",25,"4",9.40344386483654e-05
"253",26,"4",0.253936134071493
"254",27,"4",0.551387269089907
"255",28,"4",0.131987816398652
"256",29,"4",0.121514550700287
"257",3,"4",0.0415597609598609
