"","subject","experiment","time","pupilorig","pupilmm","pupilnorm"
"1","Sample","Hab",0,138.76769438182,2.35615733465171,0.982916608819172
"2","Sample","Hab",200,138.76769438182,2.35615733465171,0.982916608819172
"3","Sample","Hab",400,138.762828766509,2.35607472064522,0.982882144788311
"4","Sample","Hab",600,127.127025010387,2.15850867700166,0.900463648035141
"5","Sample","Hab",800,118.315398702493,2.00889476255246,0.838049309544324
"6","Sample","Hab",1000,107.106453239568,1.81857640939518,0.758654327074253
"7","Sample","Hab",1200,101.989446771859,1.7316939950547,0.72240964730961
"8","Sample","Hab",1400,95.0933860885143,1.61460475442382,0.673563605647827
"9","Sample","Hab",1600,88.4095788420358,1.50111939648556,0.626220993363492
"10","Sample","Hab",1800,86.6524597403261,1.47128500975893,0.613775001834716
"11","Sample","Hab",2000,84.1529735854213,1.42884586235525,0.596070690567501
"12","Sample","Hab",2200,82.2070497560893,1.39580573205995,0.58228736109829
"13","Sample","Hab",2400,81.2357980373663,1.37931470458373,0.575407809990017
"14","Sample","Hab",2600,81.2200762958144,1.37904776279417,0.575296450058875
"15","Sample","Hab",2800,80.3333392897142,1.36399172320125,0.569015531904018
"16","Sample","Hab",3000,80.0934000750003,1.3599177595663,0.567315999168392
"17","Sample","Hab",3200,79.9615744105234,1.35767947199053,0.566382254209523
"18","Sample","Hab",3400,79.2152625935621,1.34500773258242,0.561095992997811
"19","Sample","Hab",3600,79.8720773206345,1.35615988758213,0.56574833017926
"20","Sample","Hab",3800,79.8720773206345,1.35615988758213,0.56574833017926
"21","Sample","Hab",4000,79.2152625935621,1.34500773258242,0.561095992997811
"22","Sample","Hab",4200,79.2152625935621,1.34500773258242,0.561095992997811
"23","Sample","Hab",4400,78.7340173732202,1.33683659836616,0.557687246299985
"24","Sample","Hab",4600,77.7043558512139,1.3193538221473,0.550393968019687
"25","Sample","Hab",4800,77.3854257311132,1.31393866017417,0.548134928453626
"26","Sample","Hab",5000,74.1546224027301,1.25908236964561,0.525250565739071
"27","Sample","Hab",5200,74.0544298060658,1.25738118463594,0.524540883505171
"28","Sample","Hab",5400,73.6443953672219,1.2504191488765,0.521636535616976
"29","Sample","Hab",5600,70.97105206292,1.20502805505936,0.502700762801988
"30","Sample","Hab",5800,69.1894772293271,1.17477843082153,0.490081546913206
"31","Sample","Hab",6000,68.653463114792,1.16567736739992,0.486284862259151
"32","Sample","Hab",6200,67.9577685381786,1.15386506564866,0.481357132090649
"33","Sample","Hab",6400,67.143065557355,1.14003210249119,0.475586443929594
"34","Sample","Hab",6600,65.8804818957976,1.11859450660087,0.466643336122716
"35","Sample","Hab",6800,65.8688731444847,1.11839739988468,0.466561109243298
"36","Sample","Hab",7000,65.8688731444847,1.11839739988468,0.466561109243298
"37","Sample","Hab",7200,67.143065557355,1.14003210249119,0.475586443929594
"38","Sample","Hab",7400,67.1852064524027,1.14074761901972,0.475884935490165
"39","Sample","Hab",7600,67.6449302386738,1.14855333760402,0.479141241988649
"40","Sample","Hab",7800,67.8009135950911,1.15120180222645,0.480246100236852
"41","Sample","Hab",8000,67.8067762295775,1.15130134476988,0.480287626334362
"42","Sample","Hab",8200,67.8067762295775,1.15130134476988,0.480287626334362
"43","Sample","Hab",8400,67.8067762295775,1.15130134476988,0.480287626334362
"44","Sample","Hab",8600,67.2260566089555,1.14144121990725,0.476174284517167
"45","Sample","Hab",8800,67.1012084055248,1.13932140368099,0.475289962173412
"46","Sample","Hab",9000,66.8238005637543,1.13461125465106,0.473325032394131
"47","Sample","Hab",9200,66.4153703662221,1.1276764575436,0.470432047636504
"48","Sample","Hab",9400,66.4013702173949,1.12743874693312,0.470332882057155
"49","Sample","Hab",9600,65.6022304175639,1.11387003334188,0.464672430714201
"50","Sample","Hab",9800,64.5781560615843,1.09648212244649,0.457418727338626
"51","Sample","Hab",10000,64.5357317390533,1.09576179356055,0.457118228210069
"52","Sample","Hab",10200,63.9226973493973,1.08535299142532,0.452775995055194
"53","Sample","Hab",10400,63.7670179593258,1.08270968789272,0.451673289855444
"54","Sample","Hab",10600,63.7670179593258,1.08270968789272,0.451673289855444
"55","Sample","Hab",10800,63.4540174480142,1.07739520562966,0.449456250777959
"56","Sample","Hab",11000,63.166775135152,1.07251807565149,0.447421661666094
"57","Sample","Hab",11200,62.7297997275026,1.06509860517327,0.44432648603651
"58","Sample","Hab",11400,62.7297997275026,1.06509860517327,0.44432648603651
"59","Sample","Hab",11600,62.7297997275026,1.06509860517327,0.44432648603651
"60","Sample","Hab",11800,62.9158262433093,1.06825717707007,0.44564414540155
"61","Sample","Hab",12000,63.2802628771348,1.07444500091213,0.448225515812328
"62","Sample","Hab",12200,64.8245696182931,1.10066601489771,0.459164119006378
"63","Sample","Hab",12400,65.7708160621438,1.11673247409053,0.465866553242533
"64","Sample","Hab",12600,66.0788505845763,1.12196263808935,0.468048417325073
"65","Sample","Hab",12800,66.0788505845763,1.12196263808935,0.468048417325073
"66","Sample","Hab",13000,65.8850338039808,1.11867179412734,0.466675578109405
"67","Sample","Hab",13200,65.7708160621438,1.11673247409053,0.465866553242533
"68","Sample","Hab",13400,64.3089202217404,1.09191072705345,0.455511681322975
"69","Sample","Hab",13600,64.0828057491857,1.08807149577305,0.453910071729629
"70","Sample","Hab",13800,63.6526258235897,1.08076740679594,0.45086302972513
"71","Sample","Hab",14000,62.0574584851035,1.05368282315913,0.439564171746486
"72","Sample","Hab",14200,61.6027936177292,1.04596300071166,0.436343698483026
"73","Sample","Hab",14400,61.4015103824501,1.0425453827044,0.43491797302211
