100,0
200,0
301,-1
400,0
500,-1
600,1
700,1
800,1
900,6
1000,12
1100,9
1200,7
1300,10
1400,7
1500,4
1600,11
1700,14
1800,12
1900,11
2000,14
2100,13
2200,12
2300,7
2400,3
2500,10
2600,11
2700,10
2800,11
2900,10
3000,13
3100,10
3200,6
3300,3
3400,8
3501,15
3600,15
3700,13
3800,13
3900,13
4000,16
4100,18
4200,13
4300,14
4400,16
4500,14
4600,10
4700,6
4800,4
4900,1
5000,-1
5100,-2
5200,1
5300,2
5400,-1
5500,0
5600,0
5700,1
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,1
6500,0
6600,0
6701,1
6800,5
6900,11
7000,14
7100,11
7200,10
7300,6
7400,5
7500,1
7600,0
7700,0
7800,0
7900,0
8000,0
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,1
9300,0
9400,0
9500,1
9600,0
9700,1
9800,0
9901,0
10000,1
10100,0
10200,0
10300,0
10400,0
10500,0
10600,0
10700,0
10800,0
10900,0
11000,0
11100,0
11200,0
11300,0
11400,0
11500,0
11600,0
11700,-1
11800,-1
11900,3
12000,7
12100,10
12200,10
12300,7
12400,-2
12500,-3
12600,1
12700,1
12800,1
12900,-1
13000,0
13101,0
13200,0
13300,0
13400,0
13500,1
13600,0
13700,0
13800,0
13900,0
14000,0
14100,0
14200,0
14300,0
14400,0
14500,0
14600,0
14700,0
14800,0
14900,-1
15000,0
15100,0
15200,0
15300,0
15400,0
15500,0
15600,0
15700,0
15800,0
15900,0
16000,0
16100,1
16200,0
16301,-1
16400,-1
16500,-1
16600,6
16700,9
16800,7
16900,8
17000,8
17100,9
17200,6
17300,5
17400,4
17500,1
17600,-1
17700,7
17800,11
17900,15
18000,14
18100,10
18200,10
18300,13
18400,17
18500,18
18600,15
18700,16
18800,13
18900,8
19000,3
19100,1
19200,4
19300,6
19400,10
19501,9
19600,10
19700,6
19800,4
19900,2
20000,6
20100,5
20200,3
20300,3
20400,3
20500,3
20600,4
20700,2
20800,4
20900,9
21000,11
21100,13
21200,11
21300,2
21400,-1
